Group,Site.Name,Latitude,Longitude,Date,Time,Rain.mm,Temp,RH,WindSpeed.ms,GustSpeed.ms,WindDirection.theta,WindDirection
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,0:31:00,0.4,12.496,97.153,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,0:46:00,0.6,12.432,97.51,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,1:01:00,0.4,12.368,97.67,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,1:16:00,0,12.325,98.108,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,1:31:00,0,12.303,97.821,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,1:46:00,0.2,12.282,97.423,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,2:01:00,0,12.196,98.178,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,2:16:00,0,12.003,97.844,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,2:31:00,0,11.896,98.81,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,2:46:00,0,12.046,98.846,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,3:01:00,0,12.046,98.686,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,3:16:00,0,12.003,98.753,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,3:31:00,0,12.132,98.671,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,3:46:00,0,12.325,96.883,0,1.01,167.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,4:01:00,0,12.325,97.032,0,1.51,292,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,4:16:00,0,12.346,96.15,0,1.01,278,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,4:31:00,0,12.325,95.476,0,1.51,268.1,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,4:46:00,0,12.26,94.858,0,2.01,261.1,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,5:01:00,0,12.26,94.469,0,2.01,283.6,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,5:16:00,0,12.196,95.138,0,2.52,278,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,5:31:00,0,12.153,94.208,0.5,3.52,275.2,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,5:46:00,0,12.067,95.192,0.5,2.01,248.5,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,6:01:00,0,11.982,94.821,0.5,3.02,256.9,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,6:16:00,0,11.853,95.261,0,2.01,272.4,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,6:31:00,0,11.81,95.285,0.5,2.01,252.7,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,6:46:00,0,11.789,95.196,0.5,2.52,251.3,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,7:01:00,0,11.81,94.64,0.5,3.52,256.9,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,7:16:00,0,11.746,94.542,1.01,3.02,262.5,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,7:31:00,0,11.681,94.818,0.5,3.02,254.1,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,7:46:00,0,11.638,94.372,0,3.02,256.9,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,8:01:00,0,11.724,94.395,0,2.01,266.7,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,8:16:00,0,11.789,94.578,0.5,3.02,258.3,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,8:31:00,0.2,11.853,94.139,0.5,3.52,262.5,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,8:46:00,0,12.025,93.494,0.5,2.52,261.1,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,9:01:00,0,12.196,92.99,1.01,4.03,261.1,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,9:16:00,0,12.346,92.358,0.5,4.03,272.4,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,9:31:00,0,12.389,92.844,1.01,3.52,275.2,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,9:46:00,0,12.346,92.125,1.01,4.03,282.2,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,10:01:00,0,12.303,92.927,1.51,4.53,285,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,10:16:00,0,12.411,93.024,1.51,4.53,268.1,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,10:31:00,0.2,12.132,91.392,2.01,5.54,280.8,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,10:46:00,0.2,12.153,91.64,1.51,5.54,293.4,NW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,11:01:00,0,12.282,88.565,1.51,5.54,282.2,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,11:16:00,0,12.26,88.943,1.51,5.54,283.6,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,11:31:00,0,12.067,87.288,2.01,6.54,276.6,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,11:46:00,0,12.11,86.458,2.52,7.05,283.6,W
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,12:01:00,0,12.153,83.676,2.01,6.54,269.6,W
